pro_code,user_id,cate_id,brand_id,name,description,short_description,ingredients,how_to_use,price,price_poi,quantity,weight,barcode,slug_url,seo_title,seo_url,seo_keyword,seo_description,view_count,sales_count,status,credit_type_id,minimum_eligiblity_value
,1,4,3,רעשן קטן,,"רעשן מיני מבוסס לדים וזמזם אלקטרוני.
רעשן זה מיוחד במינו, הילדים מרכיבים אותו ואת האלקטרוניקה שמתחברת אליו.
בנוסף לרעש הרגיל שרעשן עושה, מצרפים אליו גם זמזם, שהופך את הרעשן למרעיש אף יותר לשמחת כולם.
המוצר מאיר בצבעים מתחלפים.
מספר רכיבים: 11
רמת קושי: מתחילים – 1
הרכבת רעשן 1 | הרכבת רעשן 2",,,19.6,19.6,100,1,,,,,,,0,0,0,1,
,1,4,3,שקדיה,,"רוצה לשדרג את עריכת השולחן? השקדיה מוסיפה אור, צבע וייחודיות לכל שולחן פשוט ולכל יום הולדת. בנוסף אין כמו לראות את הילד שלך מתגאה במשהו מגניב שהוא עשה.
עץ יפה ושימושי המשמש לתליית אביזרים קטנים.
ניתן להשתמש בו בטו' בשבט ובימי הולדת,
ככלי הגשה של ממתקים ופירות יבשים.
עוד ניתן לתלות עליו עגילים, טבעות, מתנות קטנות, וכד'.
בחדר מואר נדלקים ארבעה לדים, כשהתאורה נכבת נדלקים עוד ארבעה.
מספר רכיבים: 24
רמת קושי: בינוני – 4
הרכבת שקדיה 1 | הרכבת שקדיה 2 | הרכבת שקדיה 3 | הרכבת שקדיה 4",,,65.2,65.2,100,1,,,,,,,0,0,0,1,
,1,4,3,תאורת לילה (7 לדים),,"מי מפחד מהחושך? תאורה יחודית שתעודד את הילד בלילה שלא לפחד.
ברגע שהאור נכבה התאורה נדלקת בשלל צבעים עדינים שמפחיתים מעט מהחושך.
תאורת חירום איכותית ומדליקה.
התאורה מורכבת מ – 7 לדים צבעוניים שידלקו
בכל פעם שהאור יכבה.
מספר רכיבים: 22
רמת קושי: בינוני – 6
הרכבת תאורת לילה",,,43.5,43.5,100,1,,,,,,,0,0,0,1,
,1,4,3,תאורת לילה (2 לדים),,"מי מפחד מהחושך? תאורה יחודית שתעודד את הילד בלילה שלא לפחד. ברגע שהאור נכבה התאורה נדלקת בשלל צבעים מרגיעים, שמפחיתים מעט מהחושך.
תאורת חירום איכותית ומדליקה.
התאורה מורכבת מ – 2 לדים צבעוניים שידלקו
בכל פעם שהאור יכבה.
רכיבים
רמת קושי: מתחילים – 3
הרכבת תאורת לילה",,,27.2,27.2,100,1,,,,,,,0,0,0,1,
,1,3,3,אורון,,"תאורת לדים לארון.
התאורה נדלקת באופן אוטומטי כל פעם שדלת הארון נפתחת.
מצויין כפרוייקט ראשון.
מתאים לקייטנות, סדנאות, חוגים, בניה עצמית.
הקיט מופעל באמצעות סוללה 12V (כלולה).
מספר רכיבים: 19.
זמן עבודה: 2 – 3 שיעורים (מחושב לפי 45 דקות לשיעור).
דרגת קושי: קל.
הצגת אורון | הרכבת אורון",,,24.0,24.0,100,1,,,,,,,0,0,0,1,
,1,3,3,אזעכיס,,"אזעקה קטנה, רב שימושית ופשוטה לתפעול.
האזעקה מתחברת לכל דלת\חלון.
האזעקה מתריעה בעוצמה במקרים בהם הדלת\חלון נפתח\ת ללא אישור.
לתפעול האזעקה יש ללחוץ על הלחצן בצד ולהניח את האזעקה על דלת\חלון, באופן כזה שהלחצן ישאר באותו מצב.
מצויין כפרוייקט ראשון.
מתאים לקייטנות, סדנאות, חוגים, בניה עצמית.
הקיט מופעל באמצעות סוללה 12V (כלולה).
מספר רכיבים: 17.
זמן עבודה: 3 שיעורים (מחושב לפי 45 דקות לשיעור).
דרגת קושי: קל.
הרכבת אזעכיס",,,24.0,24.0,100,1,,,,,,,0,0,0,1,
,1,3,3,בייסיקול,,"תאורה לדים איכותית לאופניים.
התאורה כוללת חיישן תזוזה.
התאורה נדלקת באופן אוטומטי בזמן סיבוב הגלגל עליו היא מותקנת.
מטרת התאורה, להגדיל את מידת הבטיחות של הרוכב באמצעות הוספת תאורה לאופניים.
מתאים לקייטנות, סדנאות, חוגים, בניה עצמית.
הקיט מופעל באמצעות סוללה 12V (כלולה).
מספר רכיבים: 13.
זמן עבודה: 3 שיעורים (מחושב לפי 45 דקות לשיעור).
דרגת קושי: קל.
הרכבת בייסיקול",,,24.0,24.0,100,1,,,,,,,0,0,0,1,
,1,3,3,דורי,,"קיט רמזור מגניב לחדר (יש\אין כניסה).
הרמזור מאופיין בשני סימנים (איקס\וי) בצבעים אדום וירוק בהתאמה.
הקיט מאפשר למשתמש לסמן למבקרים פוטנציאלים האם הוא מעוניין בביקור על ידי שינוי הסימנים.
מצויין כפרוייקט ראשון.
מתאים לקייטנות, סדנאות, חוגים, בניה עצמית.
הקיט מופעל באמצעות סוללה 12V (כלולה).
מספר רכיבים: 24.
זמן עבודה: 4 שיעורים (מחושב לפי 45 דקות לשיעור).
דרגת קושי: קל.
הצגת דורי | הרכבת דורי",,,29.4,29.4,100,1,,,,,,,0,0,0,1,
,1,3,3,חנוכיס,,"חנוכיית לדים קטנה, איכותית ומרשימה.
מצוין כפרויקט ראשון.
מתאים לקייטנות, סדנאות, חוגים, בניה עצמית.
הקיט מופעל באמצעות סוללה 12V (כלולה).
מספר רכיבים: 28.
זמן עבודה: 5 שיעורים (מחושב לפי 45 דקות לשיעור).
דרגת קושי: קל.
הרכבת חנוכיס",,,29.4,29.4,100,1,,,,,,,0,0,0,1,
,1,3,3,מזכירון,,"מכשיר להקלטת תזכורת.
מצוין כפרויקט ראשון.
מתאים לקייטנות, סדנאות, חוגים, בניה עצמית.
הקיט מופעל באמצעות צמד סוללות 3V 2016 (כלולות)
מספר רכיבים: 25.
זמן עבודה: 5 שיעורים (מחושב לפי 45 דקות לשיעור).
דרגת קושי: קל.
הצגת מזכירון | הרכבת מזכירון",,,33.7,33.7,100,1,,,,,,,0,0,0,1,
